employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed
E031,2024-04-10,09:00:00,12:00:00,12:30:00,16:00:00,True
E003,2024-04-13,06:00:00,11:00:00,11:30:00,12:00:00,False
E036,2024-04-25,06:00:00,09:00:00,09:30:00,13:00:00,True
E083,2024-04-26,08:00:00,13:00:00,13:30:00,14:00:00,False
E081,2024-04-28,06:00:00,12:00:00,12:30:00,14:00:00,False
E065,2024-04-08,07:00:00,12:00:00,12:30:00,14:00:00,True
E001,2024-04-30,08:00:00,14:00:00,14:30:00,16:00:00,False
E077,2024-04-10,09:00:00,14:00:00,14:30:00,15:00:00,False
E006,2024-04-03,09:00:00,,,17:00:00,True
E067,2024-04-18,08:00:00,,,14:00:00,False
E026,2024-04-03,07:00:00,12:00:00,12:30:00,15:00:00,False
E024,2024-04-12,08:00:00,13:00:00,13:30:00,16:00:00,False
E013,2024-04-27,07:00:00,,,14:00:00,True
E079,2024-04-28,06:00:00,,,13:00:00,True
E038,2024-04-15,06:00:00,11:00:00,11:30:00,13:00:00,True
E095,2024-04-22,06:00:00,10:00:00,10:30:00,13:00:00,False
E100,2024-04-21,06:00:00,12:00:00,12:30:00,13:00:00,False
E038,2024-04-05,09:00:00,,,17:00:00,False
E043,2024-04-19,08:00:00,13:00:00,13:30:00,14:00:00,True
E047,2024-04-10,09:00:00,13:00:00,13:30:00,15:00:00,True
E015,2024-04-02,06:00:00,10:00:00,10:30:00,14:00:00,True
E078,2024-04-02,07:00:00,,,14:00:00,False
E016,2024-04-27,09:00:00,,,17:00:00,False
E062,2024-04-07,09:00:00,13:00:00,13:30:00,16:00:00,True
E054,2024-04-15,09:00:00,12:00:00,12:30:00,15:00:00,True
E005,2024-04-09,07:00:00,11:00:00,11:30:00,15:00:00,False
E054,2024-04-28,07:00:00,12:00:00,12:30:00,14:00:00,False
E073,2024-04-04,06:00:00,12:00:00,12:30:00,13:00:00,False
E027,2024-04-30,08:00:00,13:00:00,13:30:00,15:00:00,True
E054,2024-04-17,08:00:00,,,15:00:00,True
E064,2024-04-03,07:00:00,11:00:00,11:30:00,13:00:00,False
E099,2024-04-09,07:00:00,13:00:00,13:30:00,15:00:00,True
E096,2024-04-13,07:00:00,11:00:00,11:30:00,13:00:00,False
E002,2024-04-20,06:00:00,,,13:00:00,False
E049,2024-04-29,06:00:00,11:00:00,11:30:00,12:00:00,True
E072,2024-04-25,09:00:00,12:00:00,12:30:00,15:00:00,False
E063,2024-04-18,07:00:00,10:00:00,10:30:00,13:00:00,False
E039,2024-04-27,06:00:00,,,12:00:00,False
E059,2024-04-13,08:00:00,14:00:00,14:30:00,15:00:00,True
E052,2024-04-04,06:00:00,,,14:00:00,True
E047,2024-04-17,09:00:00,,,17:00:00,False
E009,2024-04-21,08:00:00,12:00:00,12:30:00,15:00:00,True
E048,2024-04-28,07:00:00,13:00:00,13:30:00,15:00:00,True
E044,2024-04-09,07:00:00,10:00:00,10:30:00,13:00:00,True
E070,2024-04-04,09:00:00,13:00:00,13:30:00,17:00:00,False
E053,2024-04-28,08:00:00,,,14:00:00,False
E081,2024-04-01,08:00:00,,,16:00:00,True
E060,2024-04-26,09:00:00,15:00:00,15:30:00,17:00:00,False
E019,2024-04-09,08:00:00,12:00:00,12:30:00,14:00:00,False
E087,2024-04-26,08:00:00,13:00:00,13:30:00,15:00:00,True
E087,2024-04-20,06:00:00,10:00:00,10:30:00,13:00:00,True
E043,2024-04-21,08:00:00,11:00:00,11:30:00,14:00:00,False
E078,2024-04-01,08:00:00,14:00:00,14:30:00,14:00:00,True
E085,2024-04-19,06:00:00,10:00:00,10:30:00,12:00:00,True
E080,2024-04-26,09:00:00,15:00:00,15:30:00,17:00:00,False
E091,2024-04-08,08:00:00,,,14:00:00,False
