employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,shift_length_minutes,lunch_needed,violation_reason,violation_flag
E074,2024-10-02,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 17:00:00,False,480.0,True,late_lunch_no_waiver,True
E063,2024-10-27,1900-01-01 07:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 13:00:00,False,360.0,True,late_lunch_no_waiver,True
E010,2024-10-08,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E078,2024-10-12,1900-01-01 09:00:00,,,1900-01-01 16:00:00,False,420.0,True,missed_lunch,True
E034,2024-10-15,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 16:00:00,True,480.0,True,no_violation,False
E099,2024-10-28,1900-01-01 09:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 17:00:00,True,480.0,True,no_violation,False
E031,2024-10-05,1900-01-01 08:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 16:00:00,True,480.0,True,no_violation,False
E041,2024-10-22,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 16:00:00,False,420.0,True,late_lunch_no_waiver,True
E065,2024-10-06,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 15:00:00,True,360.0,False,no_violation,False
E039,2024-10-27,1900-01-01 06:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 12:00:00,True,360.0,False,no_violation,False
E077,2024-10-05,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 13:00:00,True,420.0,True,no_violation,False
E045,2024-10-14,1900-01-01 09:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 15:00:00,False,360.0,True,no_violation,False
E080,2024-10-17,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 13:00:00,True,420.0,True,no_violation,False
E085,2024-10-21,1900-01-01 07:00:00,,,1900-01-01 14:00:00,True,420.0,True,missed_lunch,True
E042,2024-10-14,1900-01-01 06:00:00,,,1900-01-01 14:00:00,True,480.0,True,missed_lunch,True
E043,2024-10-29,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 13:00:00,False,360.0,True,late_lunch_no_waiver,True
E075,2024-10-06,1900-01-01 09:00:00,,,1900-01-01 17:00:00,False,480.0,True,missed_lunch,True
E095,2024-10-17,1900-01-01 09:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 17:00:00,False,480.0,True,no_violation,False
E063,2024-10-22,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 15:00:00,False,360.0,True,late_lunch_no_waiver,True
E069,2024-10-13,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 15:00:00,False,480.0,True,late_lunch_no_waiver,True
E005,2024-10-28,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 17:00:00,True,480.0,True,no_violation,False
E012,2024-10-05,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 16:00:00,True,420.0,True,no_violation,False
E100,2024-10-17,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 16:00:00,False,480.0,True,late_lunch_no_waiver,True
E055,2024-10-11,1900-01-01 07:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 14:00:00,True,420.0,True,no_violation,False
E083,2024-10-29,1900-01-01 06:00:00,,,1900-01-01 12:00:00,False,360.0,True,missed_lunch,True
E056,2024-10-28,1900-01-01 08:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 14:00:00,True,360.0,False,no_violation,False
E037,2024-10-06,1900-01-01 07:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 14:00:00,False,420.0,True,no_violation,False
E045,2024-10-06,1900-01-01 07:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 14:00:00,True,420.0,True,no_violation,False
