employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,shift_length_minutes,lunch_needed,violation_reason,violation_flag
E060,2024-09-20,1900-01-01 08:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 14:00:00,False,360.0,True,no_violation,False
E044,2024-09-17,1900-01-01 06:00:00,1900-01-01 09:00:00,1900-01-01 09:30:00,1900-01-01 13:00:00,False,420.0,True,no_violation,False
E094,2024-09-13,1900-01-01 09:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 17:00:00,True,480.0,True,no_violation,False
E031,2024-09-02,1900-01-01 07:00:00,,,1900-01-01 15:00:00,True,480.0,True,missed_lunch,True
E076,2024-09-03,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 13:00:00,False,420.0,True,no_violation,False
E093,2024-09-26,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E051,2024-09-09,1900-01-01 06:00:00,,,1900-01-01 12:00:00,False,360.0,True,missed_lunch,True
E001,2024-09-29,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E018,2024-09-01,1900-01-01 09:00:00,,,1900-01-01 17:00:00,True,480.0,True,missed_lunch,True
E015,2024-09-20,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 14:00:00,True,480.0,True,no_violation,False
E043,2024-09-01,1900-01-01 07:00:00,,,1900-01-01 15:00:00,True,480.0,True,missed_lunch,True
E065,2024-09-03,1900-01-01 07:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 14:00:00,False,420.0,True,no_violation,False
E082,2024-09-25,1900-01-01 07:00:00,,,1900-01-01 13:00:00,True,360.0,False,no_violation,False
E093,2024-09-02,1900-01-01 08:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 16:00:00,True,480.0,True,no_violation,False
E096,2024-09-09,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 14:00:00,True,480.0,True,no_violation,False
E021,2024-09-20,1900-01-01 08:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 16:00:00,True,480.0,True,no_violation,False
E045,2024-09-04,1900-01-01 09:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 15:00:00,False,360.0,True,no_violation,False
E049,2024-09-26,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 13:00:00,False,420.0,True,no_violation,False
E057,2024-09-09,1900-01-01 06:00:00,1900-01-01 09:00:00,1900-01-01 09:30:00,1900-01-01 13:00:00,False,420.0,True,no_violation,False
E067,2024-09-26,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E055,2024-09-16,1900-01-01 07:00:00,,,1900-01-01 15:00:00,False,480.0,True,missed_lunch,True
E055,2024-09-21,1900-01-01 06:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 13:00:00,True,420.0,True,no_violation,False
E018,2024-09-22,1900-01-01 07:00:00,,,1900-01-01 15:00:00,False,480.0,True,missed_lunch,True
E034,2024-09-01,1900-01-01 07:00:00,,,1900-01-01 14:00:00,True,420.0,True,missed_lunch,True
E016,2024-09-20,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 12:00:00,True,360.0,False,no_violation,False
E050,2024-09-10,1900-01-01 08:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 15:00:00,True,420.0,True,no_violation,False
E018,2024-09-03,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 12:00:00,False,360.0,True,no_violation,False
E091,2024-09-18,1900-01-01 07:00:00,,,1900-01-01 15:00:00,False,480.0,True,missed_lunch,True
E099,2024-09-20,1900-01-01 08:00:00,,,1900-01-01 14:00:00,False,360.0,True,missed_lunch,True
E036,2024-09-17,1900-01-01 07:00:00,,,1900-01-01 15:00:00,True,480.0,True,missed_lunch,True
E021,2024-09-25,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 12:00:00,True,360.0,False,no_violation,False
E076,2024-09-18,1900-01-01 06:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E069,2024-09-03,1900-01-01 09:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 17:00:00,True,480.0,True,no_violation,False
E083,2024-09-19,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 14:00:00,False,480.0,True,no_violation,False
E014,2024-09-04,1900-01-01 09:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 15:00:00,False,360.0,True,no_violation,False
E087,2024-09-20,1900-01-01 08:00:00,,,1900-01-01 14:00:00,True,360.0,False,no_violation,False
E030,2024-09-12,1900-01-01 07:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 13:00:00,False,360.0,True,no_violation,False
E079,2024-09-02,1900-01-01 09:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 17:00:00,False,480.0,True,no_violation,False
E005,2024-09-20,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 12:00:00,True,360.0,False,no_violation,False
E071,2024-09-18,1900-01-01 06:00:00,,,1900-01-01 14:00:00,False,480.0,True,missed_lunch,True
E043,2024-09-03,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E076,2024-09-05,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 15:00:00,False,360.0,True,late_lunch_no_waiver,True
E086,2024-09-08,1900-01-01 07:00:00,,,1900-01-01 13:00:00,False,360.0,True,missed_lunch,True
E014,2024-09-04,1900-01-01 06:00:00,,,1900-01-01 12:00:00,True,360.0,False,no_violation,False
E011,2024-09-12,1900-01-01 06:00:00,1900-01-01 10:00:00,1900-01-01 10:30:00,1900-01-01 13:00:00,True,420.0,True,no_violation,False
E048,2024-09-28,1900-01-01 07:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 13:00:00,True,360.0,False,no_violation,False
E002,2024-09-15,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E008,2024-09-29,1900-01-01 09:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 16:00:00,False,420.0,True,no_violation,False
E082,2024-09-02,1900-01-01 07:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 14:00:00,False,420.0,True,no_violation,False
E046,2024-09-26,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E013,2024-09-01,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 15:00:00,False,360.0,True,late_lunch_no_waiver,True
E063,2024-09-19,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 16:00:00,False,420.0,True,late_lunch_no_waiver,True
E039,2024-09-15,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 16:00:00,False,420.0,True,late_lunch_no_waiver,True
