employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed
E030,2024-08-12,07:00:00,,,13:00:00,False
E011,2024-08-05,07:00:00,13:00:00,13:30:00,14:00:00,True
E063,2024-08-15,09:00:00,15:00:00,15:30:00,17:00:00,False
E012,2024-08-16,06:00:00,12:00:00,12:30:00,14:00:00,True
E061,2024-08-29,06:00:00,09:00:00,09:30:00,14:00:00,False
E050,2024-08-20,06:00:00,10:00:00,10:30:00,14:00:00,False
E089,2024-08-03,07:00:00,,,15:00:00,False
E078,2024-08-03,09:00:00,15:00:00,15:30:00,17:00:00,True
E094,2024-08-19,08:00:00,14:00:00,14:30:00,16:00:00,False
E018,2024-08-06,08:00:00,14:00:00,14:30:00,16:00:00,True
E065,2024-08-20,08:00:00,13:00:00,13:30:00,14:00:00,True
E066,2024-08-22,07:00:00,10:00:00,10:30:00,14:00:00,True
E038,2024-08-11,08:00:00,14:00:00,14:30:00,14:00:00,True
E039,2024-08-27,07:00:00,11:00:00,11:30:00,15:00:00,False
E085,2024-08-28,07:00:00,10:00:00,10:30:00,13:00:00,True
E098,2024-08-13,07:00:00,11:00:00,11:30:00,15:00:00,False
E018,2024-08-14,09:00:00,12:00:00,12:30:00,16:00:00,False
E037,2024-08-23,06:00:00,11:00:00,11:30:00,12:00:00,True
E020,2024-08-26,07:00:00,10:00:00,10:30:00,15:00:00,False
E018,2024-08-11,06:00:00,11:00:00,11:30:00,14:00:00,False
E047,2024-08-01,07:00:00,,,13:00:00,False
E005,2024-08-29,07:00:00,,,14:00:00,True
E057,2024-08-04,07:00:00,13:00:00,13:30:00,15:00:00,True
E020,2024-08-13,06:00:00,,,14:00:00,True
E083,2024-08-05,06:00:00,,,14:00:00,False
E073,2024-08-13,09:00:00,12:00:00,12:30:00,15:00:00,False
E058,2024-08-04,07:00:00,10:00:00,10:30:00,15:00:00,True
E084,2024-08-12,06:00:00,,,14:00:00,False
E065,2024-08-27,07:00:00,11:00:00,11:30:00,14:00:00,True
E001,2024-08-10,06:00:00,12:00:00,12:30:00,14:00:00,False
E029,2024-08-21,06:00:00,11:00:00,11:30:00,14:00:00,False
E095,2024-08-28,08:00:00,,,16:00:00,False
E046,2024-08-26,06:00:00,12:00:00,12:30:00,12:00:00,False
E075,2024-08-28,07:00:00,13:00:00,13:30:00,14:00:00,False
