employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed
E061,2024-12-09,07:00:00,12:00:00,12:30:00,14:00:00,False
E062,2024-12-09,07:00:00,11:00:00,11:30:00,15:00:00,False
E057,2024-12-12,08:00:00,12:00:00,12:30:00,14:00:00,True
E010,2024-12-17,09:00:00,12:00:00,12:30:00,15:00:00,False
E085,2024-12-17,06:00:00,,,13:00:00,True
E015,2024-12-22,07:00:00,11:00:00,11:30:00,15:00:00,False
E090,2024-12-29,07:00:00,,,15:00:00,True
E052,2024-12-20,09:00:00,12:00:00,12:30:00,16:00:00,False
E083,2024-12-24,07:00:00,12:00:00,12:30:00,15:00:00,True
E089,2024-12-13,06:00:00,11:00:00,11:30:00,13:00:00,False
E048,2024-12-17,06:00:00,,,13:00:00,True
E056,2024-12-02,07:00:00,13:00:00,13:30:00,15:00:00,True
E027,2024-12-25,07:00:00,12:00:00,12:30:00,13:00:00,True
E005,2024-12-14,09:00:00,12:00:00,12:30:00,16:00:00,False
E066,2024-12-15,07:00:00,13:00:00,13:30:00,14:00:00,False
E090,2024-12-31,07:00:00,12:00:00,12:30:00,13:00:00,False
E024,2024-12-07,06:00:00,,,13:00:00,True
E044,2024-12-06,06:00:00,09:00:00,09:30:00,14:00:00,True
E047,2024-12-18,06:00:00,,,13:00:00,True
E086,2024-12-27,06:00:00,,,12:00:00,False
E065,2024-12-16,08:00:00,14:00:00,14:30:00,15:00:00,False
E095,2024-12-06,08:00:00,,,16:00:00,False
E036,2024-12-11,07:00:00,12:00:00,12:30:00,15:00:00,False
E004,2024-12-22,06:00:00,11:00:00,11:30:00,12:00:00,True
E054,2024-12-05,07:00:00,10:00:00,10:30:00,14:00:00,True
E072,2024-12-19,06:00:00,09:00:00,09:30:00,13:00:00,False
E052,2024-12-26,08:00:00,14:00:00,14:30:00,15:00:00,True
E073,2024-12-06,07:00:00,,,13:00:00,True
E010,2024-12-30,07:00:00,,,14:00:00,False
E091,2024-12-12,08:00:00,,,15:00:00,True
E089,2024-12-22,06:00:00,12:00:00,12:30:00,12:00:00,False
E075,2024-12-08,09:00:00,14:00:00,14:30:00,16:00:00,True
E019,2024-12-22,08:00:00,14:00:00,14:30:00,15:00:00,True
E047,2024-12-06,07:00:00,13:00:00,13:30:00,14:00:00,True
E023,2024-12-02,09:00:00,,,15:00:00,False
E013,2024-12-31,06:00:00,10:00:00,10:30:00,13:00:00,True
E089,2024-12-14,07:00:00,,,15:00:00,False
E065,2024-12-29,07:00:00,11:00:00,11:30:00,15:00:00,False
E059,2024-12-15,07:00:00,13:00:00,13:30:00,14:00:00,True
E067,2024-12-22,06:00:00,11:00:00,11:30:00,12:00:00,False
E045,2024-12-25,08:00:00,,,15:00:00,True
E081,2024-12-10,07:00:00,11:00:00,11:30:00,14:00:00,True
E033,2024-12-16,09:00:00,14:00:00,14:30:00,16:00:00,True
E050,2024-12-27,07:00:00,10:00:00,10:30:00,13:00:00,False
E085,2024-12-20,09:00:00,14:00:00,14:30:00,16:00:00,False
E044,2024-12-14,09:00:00,,,16:00:00,False
E024,2024-12-06,08:00:00,,,14:00:00,True
E067,2024-12-29,08:00:00,,,16:00:00,True
E099,2024-12-05,07:00:00,,,15:00:00,False
E004,2024-12-18,06:00:00,,,12:00:00,False
E026,2024-12-06,08:00:00,,,14:00:00,True
E100,2024-12-10,06:00:00,10:00:00,10:30:00,13:00:00,True
E058,2024-12-04,07:00:00,12:00:00,12:30:00,14:00:00,True
E060,2024-12-12,09:00:00,14:00:00,14:30:00,17:00:00,False
E003,2024-12-30,09:00:00,15:00:00,15:30:00,16:00:00,True
E071,2024-12-13,06:00:00,10:00:00,10:30:00,12:00:00,False
E014,2024-12-14,06:00:00,,,12:00:00,True
E004,2024-12-04,07:00:00,,,15:00:00,True
E061,2024-12-21,09:00:00,14:00:00,14:30:00,16:00:00,True
E031,2024-12-13,08:00:00,,,14:00:00,True
E098,2024-12-22,07:00:00,13:00:00,13:30:00,14:00:00,False
E077,2024-12-05,06:00:00,12:00:00,12:30:00,12:00:00,False
E056,2024-12-24,09:00:00,15:00:00,15:30:00,16:00:00,False
E098,2024-12-28,08:00:00,,,14:00:00,False
E082,2024-12-18,06:00:00,11:00:00,11:30:00,12:00:00,False
E079,2024-12-19,09:00:00,14:00:00,14:30:00,17:00:00,True
E054,2024-12-04,09:00:00,13:00:00,13:30:00,15:00:00,True
E077,2024-12-20,09:00:00,14:00:00,14:30:00,16:00:00,False
E043,2024-12-31,06:00:00,10:00:00,10:30:00,12:00:00,False
E042,2024-12-20,08:00:00,13:00:00,13:30:00,14:00:00,False
E085,2024-12-21,06:00:00,09:00:00,09:30:00,14:00:00,False
E086,2024-12-17,08:00:00,,,14:00:00,True
E012,2024-12-22,07:00:00,10:00:00,10:30:00,14:00:00,False
E089,2024-12-08,07:00:00,11:00:00,11:30:00,14:00:00,True
E076,2024-12-06,08:00:00,14:00:00,14:30:00,15:00:00,False
E051,2024-12-15,09:00:00,13:00:00,13:30:00,16:00:00,False
E031,2024-12-19,08:00:00,12:00:00,12:30:00,15:00:00,False
E004,2024-12-03,09:00:00,,,17:00:00,False
E062,2024-12-05,08:00:00,14:00:00,14:30:00,14:00:00,False
E007,2024-12-05,09:00:00,13:00:00,13:30:00,15:00:00,True
E021,2024-12-07,09:00:00,12:00:00,12:30:00,17:00:00,True
E025,2024-12-05,09:00:00,,,17:00:00,True
E068,2024-12-27,07:00:00,,,13:00:00,False
E098,2024-12-28,07:00:00,13:00:00,13:30:00,14:00:00,True
E014,2024-12-16,06:00:00,12:00:00,12:30:00,13:00:00,True
E050,2024-12-12,06:00:00,12:00:00,12:30:00,12:00:00,False
E072,2024-12-26,06:00:00,10:00:00,10:30:00,14:00:00,False
E004,2024-12-11,08:00:00,14:00:00,14:30:00,15:00:00,True
E036,2024-12-26,06:00:00,11:00:00,11:30:00,14:00:00,False
E084,2024-12-31,08:00:00,11:00:00,11:30:00,15:00:00,False
