employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed
E001,2024-06-03,06:00:00,,11:33:28,14:00:00,True
E001,2024-06-04,06:00:00,,,10:00:00,True
E001,2024-06-05,09:00:00,13:41:43,14:11:43,15:00:00,True
E001,2024-06-06,08:00:00,,,14:00:00,True
E001,2024-06-07,06:00:00,,11:03:43,14:00:00,False
E001,2024-06-10,07:00:00,12:39:11,13:24:11,15:00:00,False
E001,2024-06-11,08:00:00,,,14:00:00,False
E001,2024-06-12,07:00:00,11:24:30,12:09:30,14:00:00,True
E001,2024-06-13,06:00:00,12:00:45,12:45:45,12:00:00,False
E001,2024-06-14,07:00:00,,,15:00:00,False
E001,2024-06-17,08:00:00,13:24:12,14:09:12,14:00:00,True
E001,2024-06-18,09:00:00,,,13:00:00,True
E001,2024-06-19,09:00:00,,,16:00:00,True
E001,2024-06-20,06:00:00,11:42:15,12:42:15,14:00:00,False
E001,2024-06-21,09:00:00,,,13:00:00,True
E001,2024-06-24,06:00:00,,,14:00:00,True
E001,2024-06-25,07:00:00,12:20:54,13:20:54,14:00:00,True
E001,2024-06-26,08:00:00,,14:41:42,14:00:00,False
E001,2024-06-27,07:00:00,11:24:46,12:24:46,15:00:00,True
E001,2024-06-28,08:00:00,13:37:28,14:22:28,15:00:00,True
E002,2024-06-03,07:00:00,,,14:00:00,True
E002,2024-06-04,08:00:00,13:20:53,14:20:53,16:00:00,True
E002,2024-06-05,07:00:00,,,11:00:00,False
E002,2024-06-06,09:00:00,,15:41:00,17:00:00,False
E002,2024-06-07,07:00:00,,,13:00:00,True
E002,2024-06-10,07:00:00,,13:06:28,,False
E002,2024-06-11,07:00:00,,,13:00:00,True
E002,2024-06-12,07:00:00,,,14:00:00,True
E002,2024-06-13,08:00:00,14:29:18,15:29:18,15:00:00,False
E002,2024-06-14,06:00:00,10:07:31,10:52:31,14:00:00,True
E002,2024-06-17,07:00:00,,,11:00:00,True
E002,2024-06-18,06:00:00,,,15:00:00,False
E002,2024-06-19,08:00:00,12:47:07,13:32:07,14:00:00,False
