employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E001,2,0,0,2
E002,0,1,0,1
E003,1,0,0,1
E004,0,1,0,1
E005,1,2,0,3
E006,0,1,0,1
E007,2,3,0,5
E008,1,2,0,3
E009,0,1,0,1
E011,0,1,0,1
E012,1,1,0,2
E013,0,2,0,2
E014,0,1,0,1
E015,1,2,0,3
E016,0,2,0,2
E017,2,0,0,2
E019,1,0,0,1
E020,0,1,0,1
E021,0,2,0,2
E022,0,1,0,1
E024,1,1,0,2
E025,1,0,0,1
E026,2,1,0,3
E027,1,0,0,1
E028,0,1,0,1
E029,1,2,0,3
E030,0,1,0,1
E031,1,2,0,3
E032,1,0,0,1
E034,0,1,0,1
E035,3,1,0,4
E036,0,2,0,2
E037,1,1,0,2
E038,4,1,0,5
E039,1,2,0,3
E040,0,1,0,1
E041,1,2,0,3
E042,0,1,0,1
E044,0,1,0,1
E045,0,1,0,1
E046,1,0,0,1
E047,0,1,0,1
E048,0,1,0,1
E049,0,1,0,1
E050,1,0,0,1
E051,1,1,0,2
E052,1,2,0,3
E053,1,1,0,2
E054,2,1,0,3
E055,0,1,0,1
E056,0,3,0,3
E059,1,0,0,1
E060,1,0,0,1
E061,3,0,0,3
E062,0,1,0,1
E064,1,0,0,1
E065,0,1,0,1
E066,0,2,0,2
E067,1,3,0,4
E068,1,3,0,4
E069,1,0,0,1
E070,0,1,0,1
E073,1,0,0,1
E074,2,1,0,3
E075,0,1,0,1
E076,0,2,0,2
E077,1,0,0,1
E078,0,1,0,1
E079,1,1,0,2
E080,3,0,0,3
E081,1,1,0,2
E082,1,2,0,3
E083,1,1,0,2
E084,0,1,0,1
E085,0,1,0,1
E086,2,3,0,5
E087,0,1,0,1
E088,1,1,0,2
E089,0,2,0,2
E090,1,0,0,1
E091,1,3,0,4
E092,0,2,0,2
E094,0,2,0,2
E095,1,3,0,4
E096,2,0,0,2
E097,1,1,0,2
E098,1,1,0,2
E099,0,3,0,3
E100,2,1,0,3
