employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E001,1,1,0,2
E002,1,1,0,2
E004,1,1,0,2
E005,1,3,0,4
E006,1,1,0,2
E008,1,2,0,3
E009,0,1,0,1
E010,1,0,0,1
E011,0,1,0,1
E012,0,2,0,2
E015,0,3,0,3
E016,1,0,0,1
E017,1,2,0,3
E018,1,4,0,5
E019,2,2,0,4
E020,1,4,0,5
E021,1,2,0,3
E022,0,1,0,1
E024,0,2,0,2
E025,0,2,0,2
E026,1,1,0,2
E027,1,0,0,1
E028,0,1,0,1
E029,1,1,0,2
E030,2,2,0,4
E031,2,2,0,4
E032,0,2,0,2
E034,0,1,0,1
E035,1,0,0,1
E036,1,0,0,1
E038,1,1,0,2
E039,0,1,0,1
E040,1,2,0,3
E041,1,1,0,2
E042,2,0,0,2
E043,1,1,0,2
E046,1,3,0,4
E047,0,2,0,2
E049,0,1,0,1
E051,1,0,0,1
E052,3,0,0,3
E056,1,1,0,2
E057,1,0,0,1
E059,1,1,0,2
E060,2,0,0,2
E061,1,1,0,2
E062,0,2,0,2
E063,1,2,0,3
E064,1,0,0,1
E065,0,2,0,2
E066,1,1,0,2
E067,1,1,0,2
E068,1,3,0,4
E069,0,1,0,1
E070,1,1,0,2
E071,0,2,0,2
E072,0,1,0,1
E073,1,0,0,1
E074,0,2,0,2
E075,4,0,0,4
E076,1,0,0,1
E077,1,2,0,3
E078,0,2,0,2
E079,0,2,0,2
E080,1,0,0,1
E083,0,1,0,1
E084,2,2,0,4
E085,2,0,0,2
E086,0,3,0,3
E088,1,0,0,1
E089,1,2,0,3
E090,1,0,0,1
E091,1,0,0,1
E093,1,1,0,2
E094,2,0,0,2
E095,0,2,0,2
E097,1,1,0,2
E099,0,1,0,1
E100,1,0,0,1
