employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E002,0,2,0,2
E003,2,0,0,2
E004,0,4,0,4
E005,0,1,0,1
E006,1,1,0,2
E007,0,2,0,2
E008,0,2,0,2
E009,0,1,0,1
E010,1,3,0,4
E012,1,2,0,3
E013,0,2,0,2
E014,1,0,0,1
E015,2,1,0,3
E016,0,1,0,1
E018,0,1,0,1
E019,0,2,0,2
E021,0,2,0,2
E023,0,5,0,5
E024,0,1,0,1
E025,0,1,0,1
E027,1,0,0,1
E028,0,1,0,1
E029,1,2,0,3
E030,1,2,0,3
E033,0,1,0,1
E034,3,1,0,4
E035,1,1,0,2
E036,2,0,0,2
E037,1,1,0,2
E039,1,1,0,2
E041,0,1,0,1
E042,2,2,0,4
E043,0,2,0,2
E044,0,2,0,2
E045,1,2,0,3
E046,0,1,0,1
E047,0,2,0,2
E048,1,1,0,2
E050,1,0,0,1
E051,0,1,0,1
E052,2,1,0,3
E053,0,2,0,2
E054,0,2,0,2
E055,1,0,0,1
E056,1,2,0,3
E058,1,2,0,3
E059,1,2,0,3
E060,1,2,0,3
E061,3,0,0,3
E062,1,1,0,2
E065,2,3,0,5
E066,2,2,0,4
E067,1,2,0,3
E068,0,2,0,2
E069,1,0,0,1
E072,0,1,0,1
E073,0,3,0,3
E074,0,1,0,1
E076,2,1,0,3
E077,2,0,0,2
E080,2,2,0,4
E081,0,2,0,2
E082,1,0,0,1
E083,0,2,0,2
E084,1,2,0,3
E085,1,1,0,2
E086,0,3,0,3
E087,0,1,0,1
E088,1,0,0,1
E089,2,1,0,3
E090,1,1,0,2
E091,0,3,0,3
E092,2,0,0,2
E095,0,2,0,2
E096,0,2,0,2
E098,1,1,0,2
E099,1,4,0,5
E100,0,2,0,2
