employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E001,1,1,0,2
E003,3,0,0,3
E005,0,1,0,1
E006,1,2,0,3
E007,2,1,0,3
E009,1,0,0,1
E010,2,1,0,3
E013,1,0,0,1
E014,1,1,0,2
E015,1,0,0,1
E016,1,0,0,1
E017,0,1,0,1
E019,1,1,0,2
E020,0,2,0,2
E021,0,2,0,2
E022,2,3,0,5
E026,1,1,0,2
E027,1,1,0,2
E029,2,1,0,3
E030,1,0,0,1
E031,1,0,0,1
E032,1,0,0,1
E033,0,1,0,1
E034,1,1,0,2
E036,1,0,0,1
E038,0,1,0,1
E039,0,3,0,3
E040,2,1,0,3
E041,2,1,0,3
E042,0,1,0,1
E044,1,2,0,3
E045,1,2,0,3
E046,1,3,0,4
E047,1,1,0,2
E049,1,2,0,3
E050,0,1,0,1
E051,0,4,0,4
E054,0,2,0,2
E055,0,1,0,1
E056,3,1,0,4
E057,1,2,0,3
E058,0,2,0,2
E059,2,1,0,3
E060,1,0,0,1
E061,2,0,0,2
E062,2,2,0,4
E063,0,1,0,1
E064,1,0,0,1
E065,1,0,0,1
E066,2,1,0,3
E067,1,0,0,1
E068,0,1,0,1
E069,1,2,0,3
E071,3,0,0,3
E072,0,1,0,1
E073,1,2,0,3
E074,1,0,0,1
E075,1,0,0,1
E076,2,0,0,2
E077,1,2,0,3
E078,2,0,0,2
E079,1,1,0,2
E081,0,1,0,1
E082,0,2,0,2
E083,1,0,0,1
E084,1,1,0,2
E085,0,1,0,1
E086,0,1,0,1
E087,1,0,0,1
E092,1,0,0,1
E094,0,1,0,1
E095,0,2,0,2
E096,1,1,0,2
E097,2,1,0,3
E098,1,1,0,2
E099,1,0,0,1
E100,0,5,0,5
