employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E001,2,1,0,3
E003,0,1,0,1
E004,2,2,0,4
E005,2,0,0,2
E006,0,1,0,1
E007,1,1,0,2
E008,3,1,0,4
E009,2,1,0,3
E011,0,1,0,1
E012,2,0,0,2
E013,0,1,0,1
E014,1,3,0,4
E015,1,2,0,3
E017,0,1,0,1
E019,2,1,0,3
E020,1,0,0,1
E021,1,0,0,1
E022,2,0,0,2
E023,2,1,0,3
E025,1,0,0,1
E026,2,3,0,5
E027,1,1,0,2
E028,1,2,0,3
E029,2,0,0,2
E030,1,1,0,2
E031,0,2,0,2
E033,0,2,0,2
E034,1,2,0,3
E035,0,1,0,1
E036,2,1,0,3
E037,0,1,0,1
E038,0,1,0,1
E039,1,0,0,1
E040,1,2,0,3
E041,1,1,0,2
E042,0,2,0,2
E045,1,3,0,4
E047,1,0,0,1
E048,2,3,0,5
E049,0,1,0,1
E050,4,2,0,6
E051,1,0,0,1
E052,1,2,0,3
E053,2,1,0,3
E055,0,1,0,1
E056,2,2,0,4
E057,1,4,0,5
E058,0,1,0,1
E059,0,1,0,1
E060,0,1,0,1
E061,0,1,0,1
E062,0,1,0,1
E063,0,1,0,1
E064,1,0,0,1
E066,2,0,0,2
E067,1,0,0,1
E068,1,0,0,1
E069,0,1,0,1
E070,0,1,0,1
E071,2,1,0,3
E073,1,2,0,3
E076,0,1,0,1
E077,1,1,0,2
E078,2,1,0,3
E079,1,2,0,3
E080,2,1,0,3
E082,1,3,0,4
E084,0,1,0,1
E085,2,1,0,3
E086,2,2,0,4
E087,0,1,0,1
E088,0,3,0,3
E089,0,1,0,1
E090,1,1,0,2
E092,1,0,0,1
E093,1,1,0,2
E094,2,1,0,3
E095,0,1,0,1
E096,1,0,0,1
E097,1,1,0,2
E100,1,1,0,2
