employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E001,0,1,0,1
E002,0,3,0,3
E003,1,1,0,2
E004,1,1,0,2
E005,2,1,0,3
E006,2,0,0,2
E007,0,3,0,3
E008,0,2,0,2
E009,1,0,0,1
E010,3,1,0,4
E013,1,1,0,2
E014,0,1,0,1
E015,3,2,0,5
E016,2,0,0,2
E017,1,1,0,2
E018,1,1,0,2
E019,1,0,0,1
E021,0,1,0,1
E022,1,1,0,2
E023,2,0,0,2
E024,1,2,0,3
E025,1,0,0,1
E026,0,1,0,1
E028,2,0,0,2
E029,1,2,0,3
E030,0,1,0,1
E031,1,1,0,2
E032,1,1,0,2
E033,0,1,0,1
E034,1,1,0,2
E035,1,2,0,3
E036,1,0,0,1
E037,1,2,0,3
E038,2,0,0,2
E039,1,2,0,3
E040,1,3,0,4
E041,1,1,0,2
E042,1,2,0,3
E044,0,1,0,1
E045,0,2,0,2
E046,1,2,0,3
E049,2,0,0,2
E050,0,2,0,2
E051,0,1,0,1
E052,0,2,0,2
E054,3,0,0,3
E056,0,2,0,2
E057,1,2,0,3
E058,1,0,0,1
E059,1,1,0,2
E060,1,0,0,1
E062,1,2,0,3
E063,1,1,0,2
E064,0,1,0,1
E065,2,1,0,3
E066,0,1,0,1
E067,1,2,0,3
E068,1,0,0,1
E069,2,0,0,2
E070,1,1,0,2
E071,0,1,0,1
E072,0,2,0,2
E074,0,1,0,1
E075,1,0,0,1
E076,1,0,0,1
E077,0,1,0,1
E079,0,2,0,2
E080,0,1,0,1
E082,1,0,0,1
E083,2,1,0,3
E084,0,1,0,1
E086,0,1,0,1
E087,2,0,0,2
E088,0,2,0,2
E089,1,1,0,2
E091,1,1,0,2
E092,0,2,0,2
E093,0,3,0,3
E094,0,1,0,1
E095,1,0,0,1
E096,2,0,0,2
E097,1,0,0,1
E098,1,0,0,1
E099,1,0,0,1
E100,3,0,0,3
