employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E001,2,4,0,6
E002,1,1,0,2
E004,0,2,0,2
E005,0,2,0,2
E007,0,1,0,1
E008,0,1,0,1
E009,1,0,0,1
E010,2,1,0,3
E012,3,1,0,4
E013,1,0,0,1
E014,0,1,0,1
E015,1,1,0,2
E016,3,0,0,3
E018,2,0,0,2
E019,1,2,0,3
E020,0,2,0,2
E021,2,1,0,3
E022,1,0,0,1
E024,0,3,0,3
E027,0,1,0,1
E028,1,1,0,2
E029,1,1,0,2
E033,0,2,0,2
E035,2,1,0,3
E037,1,0,0,1
E038,1,0,0,1
E040,0,2,0,2
E041,0,1,0,1
E042,2,1,0,3
E043,0,1,0,1
E044,1,1,0,2
E045,1,1,0,2
E046,0,1,0,1
E047,0,1,0,1
E049,1,2,0,3
E050,2,2,0,4
E051,2,2,0,4
E052,1,2,0,3
E054,0,2,0,2
E055,0,1,0,1
E056,0,2,0,2
E057,0,1,0,1
E058,1,2,0,3
E059,1,1,0,2
E060,2,1,0,3
E061,1,2,0,3
E062,1,0,0,1
E063,1,0,0,1
E064,1,0,0,1
E065,0,3,0,3
E066,0,3,0,3
E067,2,2,0,4
E068,0,2,0,2
E069,1,1,0,2
E070,0,2,0,2
E071,1,1,0,2
E072,0,1,0,1
E073,1,1,0,2
E075,1,0,0,1
E076,0,1,0,1
E077,1,1,0,2
E080,1,0,0,1
E081,2,0,0,2
E082,0,1,0,1
E083,1,0,0,1
E084,1,1,0,2
E085,0,1,0,1
E086,1,0,0,1
E087,0,1,0,1
E089,1,4,0,5
E090,0,1,0,1
E091,0,2,0,2
E092,1,2,0,3
E093,0,1,0,1
E094,1,2,0,3
E095,0,1,0,1
E098,0,1,0,1
E099,0,3,0,3
E100,0,1,0,1
