employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E001,0,1,0,1
E002,0,1,0,1
E003,0,1,0,1
E005,0,1,0,1
E006,2,1,0,3
E007,0,2,0,2
E008,0,1,0,1
E009,0,1,0,1
E010,2,2,0,4
E011,1,1,0,2
E012,1,1,0,2
E013,1,1,0,2
E014,1,1,0,2
E015,1,0,0,1
E016,0,1,0,1
E017,1,3,0,4
E020,1,3,0,4
E021,1,0,0,1
E022,1,0,0,1
E024,1,2,0,3
E025,0,2,0,2
E026,0,1,0,1
E028,0,2,0,2
E030,0,1,0,1
E031,0,1,0,1
E032,1,2,0,3
E034,0,1,0,1
E035,1,1,0,2
E036,0,1,0,1
E038,1,1,0,2
E039,1,1,0,2
E040,1,2,0,3
E041,3,2,0,5
E042,0,1,0,1
E043,2,0,0,2
E044,2,0,0,2
E045,1,1,0,2
E046,1,1,0,2
E047,2,3,0,5
E048,1,0,0,1
E049,1,0,0,1
E050,1,0,0,1
E051,0,3,0,3
E053,1,0,0,1
E054,1,2,0,3
E056,2,0,0,2
E057,0,1,0,1
E058,0,2,0,2
E059,1,0,0,1
E062,1,2,0,3
E063,3,2,0,5
E065,2,0,0,2
E066,0,1,0,1
E067,1,0,0,1
E068,0,1,0,1
E069,1,0,0,1
E071,1,0,0,1
E072,0,2,0,2
E073,0,1,0,1
E074,2,1,0,3
E075,1,3,0,4
E078,0,3,0,3
E079,0,2,0,2
E081,2,0,0,2
E082,1,2,0,3
E083,1,1,0,2
E085,0,2,0,2
E086,1,1,0,2
E087,2,1,0,3
E088,0,1,0,1
E089,1,2,0,3
E090,2,1,0,3
E091,1,0,0,1
E093,0,2,0,2
E094,2,0,0,2
E095,1,2,0,3
E096,2,0,0,2
E097,1,1,0,2
E098,2,2,0,4
E100,2,0,0,2
