employee_id,late_lunch_no_waiver,missed_lunch,late_lunch_waiver,total_violations
E001,0,2,0,2
E002,3,3,0,6
E003,0,2,0,2
E004,0,1,0,1
E005,2,1,0,3
E007,2,0,0,2
E008,1,0,0,1
E009,1,1,0,2
E010,0,4,0,4
E011,1,1,0,2
E012,0,1,0,1
E013,1,0,0,1
E014,1,0,0,1
E017,1,0,0,1
E018,0,2,0,2
E019,2,2,0,4
E021,2,1,0,3
E022,1,1,0,2
E023,0,2,0,2
E024,0,1,0,1
E025,3,3,0,6
E026,0,2,0,2
E028,2,1,0,3
E029,1,0,0,1
E030,0,1,0,1
E031,0,2,0,2
E032,0,1,0,1
E034,0,1,0,1
E036,1,3,0,4
E037,1,0,0,1
E038,1,0,0,1
E039,2,0,0,2
E040,0,2,0,2
E043,0,3,0,3
E044,2,0,0,2
E045,0,2,0,2
E046,0,1,0,1
E048,0,1,0,1
E049,1,1,0,2
E050,0,4,0,4
E051,0,2,0,2
E052,0,1,0,1
E053,1,0,0,1
E054,0,1,0,1
E055,1,2,0,3
E057,1,0,0,1
E058,1,0,0,1
E059,0,2,0,2
E060,0,1,0,1
E061,0,1,0,1
E063,1,0,0,1
E065,1,2,0,3
E066,1,2,0,3
E067,0,2,0,2
E068,2,0,0,2
E069,1,1,0,2
E070,2,0,0,2
E071,0,1,0,1
E072,1,0,0,1
E073,1,3,0,4
E074,0,2,0,2
E075,1,0,0,1
E076,3,3,0,6
E077,2,0,0,2
E078,2,0,0,2
E079,0,1,0,1
E082,0,1,0,1
E083,1,1,0,2
E084,1,1,0,2
E086,0,1,0,1
E087,0,1,0,1
E088,0,1,0,1
E089,1,1,0,2
E090,0,1,0,1
E091,0,3,0,3
E092,1,0,0,1
E093,0,1,0,1
E095,1,1,0,2
E096,1,1,0,2
E098,0,1,0,1
E099,0,2,0,2
E100,2,4,0,6
