employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,shift_length_minutes,lunch_needed,violation_reason,violation_flag
E061,2024-12-09,1900-01-01 07:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 14:00:00,False,420.0,True,late_lunch_no_waiver,True
E085,2024-12-17,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E090,2024-12-29,1900-01-01 07:00:00,,,1900-01-01 15:00:00,True,480.0,True,missed_lunch,True
E089,2024-12-13,1900-01-01 06:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 13:00:00,False,420.0,True,late_lunch_no_waiver,True
E048,2024-12-17,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E066,2024-12-15,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 14:00:00,False,420.0,True,late_lunch_no_waiver,True
E090,2024-12-31,1900-01-01 07:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 13:00:00,False,360.0,True,late_lunch_no_waiver,True
E024,2024-12-07,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E047,2024-12-18,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E086,2024-12-27,1900-01-01 06:00:00,,,1900-01-01 12:00:00,False,360.0,True,missed_lunch,True
E065,2024-12-16,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 15:00:00,False,420.0,True,late_lunch_no_waiver,True
E095,2024-12-06,1900-01-01 08:00:00,,,1900-01-01 16:00:00,False,480.0,True,missed_lunch,True
E036,2024-12-11,1900-01-01 07:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 15:00:00,False,480.0,True,late_lunch_no_waiver,True
E010,2024-12-30,1900-01-01 07:00:00,,,1900-01-01 14:00:00,False,420.0,True,missed_lunch,True
E091,2024-12-12,1900-01-01 08:00:00,,,1900-01-01 15:00:00,True,420.0,True,missed_lunch,True
E089,2024-12-22,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E023,2024-12-02,1900-01-01 09:00:00,,,1900-01-01 15:00:00,False,360.0,True,missed_lunch,True
E089,2024-12-14,1900-01-01 07:00:00,,,1900-01-01 15:00:00,False,480.0,True,missed_lunch,True
E067,2024-12-22,1900-01-01 06:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E045,2024-12-25,1900-01-01 08:00:00,,,1900-01-01 15:00:00,True,420.0,True,missed_lunch,True
E085,2024-12-20,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 16:00:00,False,420.0,True,late_lunch_no_waiver,True
E044,2024-12-14,1900-01-01 09:00:00,,,1900-01-01 16:00:00,False,420.0,True,missed_lunch,True
E067,2024-12-29,1900-01-01 08:00:00,,,1900-01-01 16:00:00,True,480.0,True,missed_lunch,True
E099,2024-12-05,1900-01-01 07:00:00,,,1900-01-01 15:00:00,False,480.0,True,missed_lunch,True
E004,2024-12-18,1900-01-01 06:00:00,,,1900-01-01 12:00:00,False,360.0,True,missed_lunch,True
E060,2024-12-12,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 17:00:00,False,480.0,True,late_lunch_no_waiver,True
E004,2024-12-04,1900-01-01 07:00:00,,,1900-01-01 15:00:00,True,480.0,True,missed_lunch,True
E098,2024-12-22,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 14:00:00,False,420.0,True,late_lunch_no_waiver,True
E077,2024-12-05,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E056,2024-12-24,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 16:00:00,False,420.0,True,late_lunch_no_waiver,True
