employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,shift_length_minutes,lunch_needed,violation_reason,violation_flag
E061,2024-01-21,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 13:00:00,False,360.0,True,late_lunch_no_waiver,True
E056,2024-01-20,1900-01-01 09:00:00,,,1900-01-01 16:00:00,True,420.0,True,missed_lunch,True
E098,2024-01-15,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E072,2024-01-30,1900-01-01 07:00:00,,,1900-01-01 15:00:00,True,480.0,True,missed_lunch,True
E038,2024-01-04,1900-01-01 09:00:00,,,1900-01-01 17:00:00,False,480.0,True,missed_lunch,True
E086,2024-01-07,1900-01-01 08:00:00,,,1900-01-01 16:00:00,False,480.0,True,missed_lunch,True
E064,2024-01-28,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 13:00:00,False,420.0,True,late_lunch_no_waiver,True
E054,2024-01-22,1900-01-01 08:00:00,,,1900-01-01 16:00:00,True,480.0,True,missed_lunch,True
E100,2024-01-06,1900-01-01 08:00:00,,,1900-01-01 15:00:00,False,420.0,True,missed_lunch,True
E059,2024-01-30,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E095,2024-01-17,1900-01-01 07:00:00,,,1900-01-01 14:00:00,True,420.0,True,missed_lunch,True
E062,2024-01-28,1900-01-01 07:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 15:00:00,False,480.0,True,late_lunch_no_waiver,True
E082,2024-01-06,1900-01-01 06:00:00,,,1900-01-01 14:00:00,True,480.0,True,missed_lunch,True
E021,2024-01-09,1900-01-01 08:00:00,,,1900-01-01 16:00:00,True,480.0,True,missed_lunch,True
E059,2024-01-23,1900-01-01 09:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 16:00:00,False,420.0,True,late_lunch_no_waiver,True
E051,2024-01-22,1900-01-01 09:00:00,,,1900-01-01 15:00:00,False,360.0,True,missed_lunch,True
E049,2024-01-07,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E076,2024-01-07,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 14:00:00,False,480.0,True,late_lunch_no_waiver,True
E003,2024-01-11,1900-01-01 08:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 14:00:00,False,360.0,True,late_lunch_no_waiver,True
E077,2024-01-17,1900-01-01 08:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 15:00:00,False,420.0,True,late_lunch_no_waiver,True
E042,2024-01-02,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E021,2024-01-24,1900-01-01 09:00:00,,,1900-01-01 16:00:00,True,420.0,True,missed_lunch,True
E027,2024-01-21,1900-01-01 06:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E009,2024-01-30,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 15:00:00,False,360.0,True,late_lunch_no_waiver,True
E058,2024-01-03,1900-01-01 07:00:00,,,1900-01-01 14:00:00,False,420.0,True,missed_lunch,True
E006,2024-01-11,1900-01-01 08:00:00,,,1900-01-01 16:00:00,True,480.0,True,missed_lunch,True
E094,2024-01-03,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E046,2024-01-16,1900-01-01 07:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 13:00:00,False,360.0,True,late_lunch_no_waiver,True
E019,2024-01-18,1900-01-01 08:00:00,,,1900-01-01 16:00:00,True,480.0,True,missed_lunch,True
E056,2024-01-18,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 17:00:00,False,480.0,True,late_lunch_no_waiver,True
E044,2024-01-06,1900-01-01 09:00:00,,,1900-01-01 15:00:00,False,360.0,True,missed_lunch,True
E065,2024-01-29,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 13:00:00,False,360.0,True,late_lunch_no_waiver,True
E029,2024-01-23,1900-01-01 08:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 16:00:00,False,480.0,True,late_lunch_no_waiver,True
E022,2024-01-23,1900-01-01 06:00:00,,,1900-01-01 12:00:00,False,360.0,True,missed_lunch,True
E050,2024-01-17,1900-01-01 06:00:00,,,1900-01-01 14:00:00,True,480.0,True,missed_lunch,True
E033,2024-01-21,1900-01-01 08:00:00,,,1900-01-01 16:00:00,True,480.0,True,missed_lunch,True
E049,2024-01-31,1900-01-01 09:00:00,,,1900-01-01 15:00:00,False,360.0,True,missed_lunch,True
E057,2024-01-05,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 13:00:00,False,360.0,True,late_lunch_no_waiver,True
E040,2024-01-19,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 15:00:00,False,360.0,True,late_lunch_no_waiver,True
E054,2024-01-28,1900-01-01 07:00:00,,,1900-01-01 15:00:00,True,480.0,True,missed_lunch,True
