employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,shift_length_minutes,lunch_needed,violation_reason,violation_flag
E001,2024-07-11,1900-01-01 07:43:00,1900-01-01 13:19:05,1900-01-01 13:49:05,1900-01-01 16:43:00,False,540.0,True,late_lunch_no_waiver,True
E001,2024-07-15,1900-01-01 07:47:00,1900-01-01 13:12:09,1900-01-01 13:42:09,1900-01-01 12:47:00,False,300.0,True,late_lunch_no_waiver,True
E001,2024-07-17,1900-01-01 09:38:00,1900-01-01 14:38:19,1900-01-01 15:08:19,1900-01-01 16:38:00,False,420.0,True,late_lunch_no_waiver,True
E002,2024-07-01,1900-01-01 06:03:00,1900-01-01 11:26:00,1900-01-01 11:56:00,1900-01-01 15:03:00,False,540.0,True,late_lunch_no_waiver,True
E002,2024-07-04,1900-01-01 07:26:00,,,1900-01-01 12:26:00,False,300.0,True,missed_lunch,True
E002,2024-07-16,1900-01-01 07:59:00,1900-01-01 13:39:25,1900-01-01 14:09:25,1900-01-01 13:59:00,False,360.0,True,late_lunch_no_waiver,True
E002,2024-07-23,1900-01-01 09:35:00,1900-01-01 14:38:56,,1900-01-01 18:35:00,False,540.0,True,late_lunch_no_waiver,True
E002,2024-07-29,1900-01-01 08:50:00,1900-01-01 14:21:27,1900-01-01 14:51:27,1900-01-01 17:50:00,False,540.0,True,late_lunch_no_waiver,True
E003,2024-07-01,1900-01-01 08:41:00,1900-01-01 13:58:27,1900-01-01 14:28:27,1900-01-01 14:41:00,False,360.0,True,late_lunch_no_waiver,True
E003,2024-07-05,1900-01-01 08:32:00,1900-01-01 13:48:01,,1900-01-01 17:32:00,False,540.0,True,late_lunch_no_waiver,True
E003,2024-07-17,1900-01-01 08:48:00,1900-01-01 13:57:50,1900-01-01 14:27:50,1900-01-01 16:48:00,False,480.0,True,late_lunch_no_waiver,True
E003,2024-07-18,1900-01-01 09:28:00,1900-01-01 14:53:42,1900-01-01 15:23:42,1900-01-01 14:28:00,False,300.0,True,late_lunch_no_waiver,True
E003,2024-07-25,1900-01-01 07:53:00,1900-01-01 13:37:49,1900-01-01 14:07:49,1900-01-01 14:53:00,False,420.0,True,late_lunch_no_waiver,True
E004,2024-07-04,1900-01-01 09:06:00,1900-01-01 14:55:31,1900-01-01 15:25:31,1900-01-01 16:06:00,False,420.0,True,late_lunch_no_waiver,True
E004,2024-07-16,1900-01-01 09:17:00,1900-01-01 15:08:46,1900-01-01 15:38:46,1900-01-01 18:17:00,False,540.0,True,late_lunch_no_waiver,True
E004,2024-07-18,1900-01-01 06:55:00,,,1900-01-01 13:55:00,True,420.0,True,missed_lunch,True
E004,2024-07-19,1900-01-01 06:52:00,,,1900-01-01 13:52:00,True,420.0,True,missed_lunch,True
E004,2024-07-25,1900-01-01 06:26:00,1900-01-01 11:44:35,1900-01-01 12:14:35,1900-01-01 11:26:00,False,300.0,True,late_lunch_no_waiver,True
E004,2024-07-29,1900-01-01 06:34:00,,,1900-01-01 13:34:00,True,420.0,True,missed_lunch,True
E004,2024-07-31,1900-01-01 06:38:00,,,1900-01-01 13:38:00,True,420.0,True,missed_lunch,True
E005,2024-07-01,1900-01-01 06:48:00,1900-01-01 11:53:41,1900-01-01 12:23:41,1900-01-01 15:48:00,False,540.0,True,late_lunch_no_waiver,True
E005,2024-07-02,1900-01-01 07:37:00,1900-01-01 12:49:21,1900-01-01 13:19:21,1900-01-01 13:37:00,False,360.0,True,late_lunch_no_waiver,True
E005,2024-07-15,1900-01-01 09:21:00,1900-01-01 14:54:32,1900-01-01 15:24:32,1900-01-01 15:21:00,False,360.0,True,late_lunch_no_waiver,True
E005,2024-07-22,1900-01-01 08:39:00,1900-01-01 13:53:04,1900-01-01 14:23:04,1900-01-01 14:39:00,False,360.0,True,late_lunch_no_waiver,True
E005,2024-07-26,1900-01-01 07:33:00,1900-01-01 12:37:30,1900-01-01 13:07:30,1900-01-01 12:33:00,False,300.0,True,late_lunch_no_waiver,True
E006,2024-07-02,1900-01-01 06:58:00,1900-01-01 12:32:56,1900-01-01 13:02:56,1900-01-01 15:58:00,False,540.0,True,late_lunch_no_waiver,True
E006,2024-07-03,1900-01-01 07:39:00,1900-01-01 12:56:15,1900-01-01 13:26:15,1900-01-01 12:39:00,False,300.0,True,late_lunch_no_waiver,True
E006,2024-07-08,1900-01-01 08:58:00,1900-01-01 14:48:16,1900-01-01 15:18:16,1900-01-01 13:58:00,False,300.0,True,late_lunch_no_waiver,True
E006,2024-07-17,1900-01-01 07:56:00,1900-01-01 13:10:39,1900-01-01 13:40:39,1900-01-01 16:56:00,False,540.0,True,late_lunch_no_waiver,True
E006,2024-07-24,1900-01-01 07:34:00,1900-01-01 13:05:01,1900-01-01 13:35:01,1900-01-01 12:34:00,False,300.0,True,late_lunch_no_waiver,True
E007,2024-07-01,1900-01-01 07:27:00,1900-01-01 13:08:14,1900-01-01 13:38:14,1900-01-01 16:27:00,False,540.0,True,late_lunch_no_waiver,True
E007,2024-07-09,1900-01-01 07:51:00,1900-01-01 13:27:20,1900-01-01 13:57:20,1900-01-01 15:51:00,False,480.0,True,late_lunch_no_waiver,True
E007,2024-07-15,1900-01-01 08:19:00,,,1900-01-01 13:19:00,False,300.0,True,missed_lunch,True
E007,2024-07-19,1900-01-01 06:00:00,1900-01-01 11:25:09,1900-01-01 11:55:09,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E007,2024-07-23,1900-01-01 09:36:00,1900-01-01 14:56:52,1900-01-01 15:26:52,1900-01-01 17:36:00,False,480.0,True,late_lunch_no_waiver,True
E008,2024-07-15,1900-01-01 06:42:00,,,1900-01-01 15:42:00,False,540.0,True,missed_lunch,True
E008,2024-07-18,1900-01-01 09:29:00,,,1900-01-01 17:29:00,False,480.0,True,missed_lunch,True
E008,2024-07-23,1900-01-01 09:56:00,1900-01-01 15:42:04,1900-01-01 16:12:04,1900-01-01 14:56:00,False,300.0,True,late_lunch_no_waiver,True
E009,2024-07-04,1900-01-01 09:44:00,1900-01-01 14:56:01,1900-01-01 15:26:01,1900-01-01 18:44:00,False,540.0,True,late_lunch_no_waiver,True
E009,2024-07-09,1900-01-01 09:56:00,1900-01-01 15:20:44,1900-01-01 15:50:44,1900-01-01 15:56:00,False,360.0,True,late_lunch_no_waiver,True
E009,2024-07-10,1900-01-01 08:59:00,1900-01-01 14:30:19,1900-01-01 15:00:19,1900-01-01 15:59:00,False,420.0,True,late_lunch_no_waiver,True
E009,2024-07-16,1900-01-01 07:01:00,,,1900-01-01 16:01:00,True,540.0,True,missed_lunch,True
E009,2024-07-17,1900-01-01 08:23:00,1900-01-01 14:11:14,1900-01-01 14:41:14,1900-01-01 17:23:00,False,540.0,True,late_lunch_no_waiver,True
E009,2024-07-18,1900-01-01 06:36:00,,,1900-01-01 13:36:00,True,420.0,True,missed_lunch,True
E009,2024-07-19,1900-01-01 07:31:00,1900-01-01 13:15:08,,1900-01-01 16:31:00,False,540.0,True,late_lunch_no_waiver,True
E009,2024-07-29,1900-01-01 09:49:00,1900-01-01 15:22:51,1900-01-01 15:52:51,1900-01-01 17:49:00,False,480.0,True,late_lunch_no_waiver,True
