employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,shift_length_minutes,lunch_needed,violation_reason,violation_flag
E080,2024-05-09,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E039,2024-05-01,1900-01-01 09:00:00,,,1900-01-01 15:00:00,False,360.0,True,missed_lunch,True
E034,2024-05-03,1900-01-01 08:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 16:00:00,False,480.0,True,late_lunch_no_waiver,True
E062,2024-05-16,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E003,2024-05-31,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 15:00:00,False,360.0,True,late_lunch_no_waiver,True
E060,2024-05-12,1900-01-01 08:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 15:00:00,False,420.0,True,late_lunch_no_waiver,True
E038,2024-05-02,1900-01-01 06:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E019,2024-05-11,1900-01-01 06:00:00,1900-01-01 11:00:00,1900-01-01 11:30:00,1900-01-01 13:00:00,False,420.0,True,late_lunch_no_waiver,True
E008,2024-05-30,1900-01-01 09:00:00,,,1900-01-01 16:00:00,True,420.0,True,missed_lunch,True
E067,2024-05-15,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 15:00:00,False,420.0,True,late_lunch_no_waiver,True
E052,2024-05-29,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E098,2024-05-10,1900-01-01 08:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 15:00:00,False,420.0,True,late_lunch_no_waiver,True
E042,2024-05-22,1900-01-01 09:00:00,,,1900-01-01 16:00:00,False,420.0,True,missed_lunch,True
E083,2024-05-22,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 15:00:00,False,420.0,True,late_lunch_no_waiver,True
E045,2024-05-30,1900-01-01 09:00:00,,,1900-01-01 16:00:00,True,420.0,True,missed_lunch,True
E067,2024-05-05,1900-01-01 07:00:00,,,1900-01-01 14:00:00,True,420.0,True,missed_lunch,True
E039,2024-05-20,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 12:00:00,False,360.0,True,late_lunch_no_waiver,True
E013,2024-05-10,1900-01-01 08:00:00,,,1900-01-01 15:00:00,False,420.0,True,missed_lunch,True
E054,2024-05-14,1900-01-01 09:00:00,1900-01-01 15:00:00,1900-01-01 15:30:00,1900-01-01 15:00:00,False,360.0,True,late_lunch_no_waiver,True
E049,2024-05-04,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 14:00:00,False,420.0,True,late_lunch_no_waiver,True
E050,2024-05-31,1900-01-01 08:00:00,,,1900-01-01 16:00:00,True,480.0,True,missed_lunch,True
E064,2024-05-09,1900-01-01 06:00:00,,,1900-01-01 13:00:00,False,420.0,True,missed_lunch,True
E040,2024-05-16,1900-01-01 07:00:00,1900-01-01 13:00:00,1900-01-01 13:30:00,1900-01-01 14:00:00,False,420.0,True,late_lunch_no_waiver,True
E093,2024-05-10,1900-01-01 09:00:00,,,1900-01-01 17:00:00,False,480.0,True,missed_lunch,True
E005,2024-05-01,1900-01-01 09:00:00,,,1900-01-01 17:00:00,False,480.0,True,missed_lunch,True
E088,2024-05-18,1900-01-01 06:00:00,,,1900-01-01 13:00:00,True,420.0,True,missed_lunch,True
E075,2024-05-10,1900-01-01 08:00:00,1900-01-01 14:00:00,1900-01-01 14:30:00,1900-01-01 14:00:00,False,360.0,True,late_lunch_no_waiver,True
E052,2024-05-23,1900-01-01 06:00:00,,,1900-01-01 12:00:00,False,360.0,True,missed_lunch,True
E029,2024-05-20,1900-01-01 07:00:00,,,1900-01-01 14:00:00,True,420.0,True,missed_lunch,True
E057,2024-05-05,1900-01-01 07:00:00,,,1900-01-01 14:00:00,True,420.0,True,missed_lunch,True
E096,2024-05-03,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 14:00:00,False,480.0,True,late_lunch_no_waiver,True
E033,2024-05-27,1900-01-01 07:00:00,,,1900-01-01 13:00:00,False,360.0,True,missed_lunch,True
E059,2024-05-24,1900-01-01 07:00:00,,,1900-01-01 13:00:00,False,360.0,True,missed_lunch,True
E065,2024-05-20,1900-01-01 07:00:00,,,1900-01-01 14:00:00,False,420.0,True,missed_lunch,True
E062,2024-05-31,1900-01-01 06:00:00,1900-01-01 12:00:00,1900-01-01 12:30:00,1900-01-01 14:00:00,False,480.0,True,late_lunch_no_waiver,True
E007,2024-05-28,1900-01-01 09:00:00,,,1900-01-01 17:00:00,True,480.0,True,missed_lunch,True
E046,2024-05-27,1900-01-01 08:00:00,,,1900-01-01 15:00:00,True,420.0,True,missed_lunch,True
E091,2024-05-12,1900-01-01 09:00:00,,,1900-01-01 15:00:00,False,360.0,True,missed_lunch,True
