employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,issue_reason
E002,2024-06-10,1900-01-01 07:00:00,,1900-01-01 13:06:28,,False,Missing clock_out
E003,2024-06-27,1900-01-01 09:00:00,1900-01-01 15:21:54,1900-01-01 15:51:54,,False,Missing clock_out
E004,2024-06-20,,1900-01-01 14:43:35,1900-01-01 15:43:35,1900-01-01 16:00:00,False,Missing clock_in
E009,2024-06-06,1900-01-01 07:00:00,,1900-01-01 14:29:34,,False,Missing clock_out
E011,2024-06-24,1900-01-01 09:00:00,,,,False,Missing clock_out
E012,2024-06-21,,1900-01-01 10:27:43,1900-01-01 10:57:43,1900-01-01 13:00:00,False,Missing clock_in
E013,2024-06-12,,1900-01-01 12:58:57,1900-01-01 13:28:57,1900-01-01 14:00:00,True,Missing clock_in
E014,2024-06-14,,,,1900-01-01 15:00:00,True,Missing clock_in
E014,2024-06-24,,,,1900-01-01 16:00:00,True,Missing clock_in
E015,2024-06-05,1900-01-01 08:00:00,1900-01-01 13:57:35,1900-01-01 14:27:35,,True,Missing clock_out
E016,2024-06-06,,,,1900-01-01 16:00:00,True,Missing clock_in
E017,2024-06-28,,,,1900-01-01 16:00:00,True,Missing clock_in
E020,2024-06-10,1900-01-01 08:00:00,1900-01-01 12:07:26,1900-01-01 13:07:26,,False,Missing clock_out
